target,source_id,cell_id,condition_id,discharge_stage,sample_count,model_mae,model_p95_absolute_error,physical_mae,physical_max_absolute_error
soc,mit_stanford_fast_charge,b1c21,5.4C(80%)-5.4C,25-50%,678,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c21,5.4C(80%)-5.4C,50-75%,702,,,2.4671622769447922e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c21,5.4C(80%)-5.4C,75-100%,2911,,,4.4730963784482214e-17,9.974659986866641e-17
soc,mit_stanford_fast_charge,b1c21,5.4C(80%)-5.4C,>100%,96,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c22,6C(30%)-3.6C,0-25%,7648,,,4.7410936171884954e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c22,6C(30%)-3.6C,25-50%,1166,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c22,6C(30%)-3.6C,50-75%,1123,,,2.3430352345161362e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c22,6C(30%)-3.6C,75-100%,4468,,,4.389054511056945e-17,9.996344030316351e-17
soc,mit_stanford_fast_charge,b1c22,6C(30%)-3.6C,>100%,336,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c23,6C(30%)-3.6C,0-25%,6941,,,4.768152768199959e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c23,6C(30%)-3.6C,25-50%,1314,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c23,6C(30%)-3.6C,50-75%,1279,,,2.3480479136912027e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c23,6C(30%)-3.6C,75-100%,5119,,,4.369744765228749e-17,9.996344030316351e-17
soc,mit_stanford_fast_charge,b1c23,6C(30%)-3.6C,>100%,327,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c24,6C(40%)-3C,0-25%,9527,,,3.3119070389258894e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c24,6C(40%)-3C,25-50%,1189,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c24,6C(40%)-3C,50-75%,1250,,,2.5357493882438574e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c24,6C(40%)-3C,75-100%,5101,,,4.3865777019544186e-17,9.996344030316351e-17
soc,mit_stanford_fast_charge,b1c24,6C(40%)-3C,>100%,386,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c25,6C(40%)-3C,0-25%,9243,,,4.823818745964112e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c25,6C(40%)-3C,25-50%,1011,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c25,6C(40%)-3C,50-75%,1028,,,2.516361524685423e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c25,6C(40%)-3C,75-100%,4491,,,4.4474397273091995e-17,9.996344030316351e-17
soc,mit_stanford_fast_charge,b1c25,6C(40%)-3C,>100%,267,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c26,6C(40%)-3.6C,0-25%,2864,,,3.771812161174153e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c26,6C(40%)-3.6C,25-50%,1346,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c26,6C(40%)-3.6C,50-75%,1066,,,2.5203937332015748e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c26,6C(40%)-3.6C,75-100%,4313,,,4.437843444979779e-17,9.996344030316351e-17
soc,mit_stanford_fast_charge,b1c26,6C(40%)-3.6C,>100%,284,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c27,6C(40%)-3.6C,0-25%,3559,,,4.5170074168508757e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c27,6C(40%)-3.6C,25-50%,1193,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c27,6C(40%)-3.6C,50-75%,1040,,,2.369899148719084e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c27,6C(40%)-3.6C,75-100%,4267,,,4.301727481806278e-17,9.974659986866641e-17
soc,mit_stanford_fast_charge,b1c27,6C(40%)-3.6C,>100%,253,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c28,6C(50%)-3C,0-25%,8912,,,4.395048059781814e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c28,6C(50%)-3C,25-50%,1027,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c28,6C(50%)-3C,50-75%,977,,,2.5170358234848737e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c28,6C(50%)-3C,75-100%,4567,,,4.308680751075676e-17,9.985502008591496e-17
soc,mit_stanford_fast_charge,b1c28,6C(50%)-3C,>100%,241,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c29,6C(50%)-3C,0-25%,7464,,,4.792522220447822e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c29,6C(50%)-3C,25-50%,1179,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c29,6C(50%)-3C,50-75%,1071,,,2.4256973647272328e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c29,6C(50%)-3C,75-100%,4663,,,4.346982131752188e-17,9.985502008591496e-17
soc,mit_stanford_fast_charge,b1c29,6C(50%)-3C,>100%,283,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c3,4C(80%)-4C,0-25%,5635,,,3.91681166451608e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c3,4C(80%)-4C,25-50%,1692,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c3,4C(80%)-4C,50-75%,1582,,,2.487825930654981e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c3,4C(80%)-4C,75-100%,5938,,,4.308016735030712e-17,9.985502008591496e-17
soc,mit_stanford_fast_charge,b1c3,4C(80%)-4C,>100%,503,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c30,6C(50%)-3.6C,0-25%,6108,,,4.800424047208642e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c30,6C(50%)-3.6C,25-50%,888,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c30,6C(50%)-3.6C,50-75%,918,,,2.4611153105797316e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c30,6C(50%)-3.6C,75-100%,3686,,,4.3105017274914204e-17,9.974659986866641e-17
soc,mit_stanford_fast_charge,b1c30,6C(50%)-3.6C,>100%,216,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c31,6C(50%)-3.6C,0-25%,6197,,,4.6042813833897894e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c31,6C(50%)-3.6C,25-50%,1131,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c31,6C(50%)-3.6C,50-75%,1154,,,2.3811109063667785e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c31,6C(50%)-3.6C,75-100%,4454,,,4.3003782146063244e-17,9.986857261307103e-17
soc,mit_stanford_fast_charge,b1c31,6C(50%)-3.6C,>100%,227,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c32,6C(60%)-3C,0-25%,6421,,,4.647686482156083e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c32,6C(60%)-3C,25-50%,856,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c32,6C(60%)-3C,50-75%,886,,,2.3495126085464655e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c32,6C(60%)-3C,75-100%,3903,,,4.342275969680785e-17,9.974659986866641e-17
soc,mit_stanford_fast_charge,b1c32,6C(60%)-3C,>100%,183,,,0.0,0.0
